"path","name","id","kind","mimeType","size","modifiedTime","webViewLink","extension"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-5-1A","P-5-1A.rfa","1GE246ou2EA4HgXwYE8Wmc4V79LM49PDZ","file","application/octet-stream","1277952","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/1GE246ou2EA4HgXwYE8Wmc4V79LM49PDZ/view?usp=drivesdk","rfa"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS","P-5-2A","1DXChDFa6LK8Mb_SBtVuObz0hKT-RYmrz","folder","application/vnd.google-apps.folder",,"2026-04-16T22:04:37.593Z","https://drive.google.com/drive/folders/1DXChDFa6LK8Mb_SBtVuObz0hKT-RYmrz",
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-5-2A","P-5-2A-Vista3D.fbx","1I8EqxK465wcdp_iTqx-9ZRUuBnxUQUjp","file","application/octet-stream","189216","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/1I8EqxK465wcdp_iTqx-9ZRUuBnxUQUjp/view?usp=drivesdk","fbx"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-5-2A","P-5-2A.rfa","1W8Uc0T86F812p-NXPk__99KGA9wE4H0j","file","application/octet-stream","1253376","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/1W8Uc0T86F812p-NXPk__99KGA9wE4H0j/view?usp=drivesdk","rfa"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS","P-5-2B","1eLj5eR9Z8umCvYirPomfsFj4nAocuzfp","folder","application/vnd.google-apps.folder",,"2026-04-16T22:04:37.596Z","https://drive.google.com/drive/folders/1eLj5eR9Z8umCvYirPomfsFj4nAocuzfp",
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-5-2B","P-5-2B-Vista3D.fbx","1BEFq2MzllFiBta-4B3xfTPuEz2Opg3yp","file","application/octet-stream","188656","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/1BEFq2MzllFiBta-4B3xfTPuEz2Opg3yp/view?usp=drivesdk","fbx"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-5-2B","P-5-2B.rfa","1PV3JFG9eAri2MtdQ9_Am9zpQsUyAmc-9","file","application/octet-stream","1253376","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/1PV3JFG9eAri2MtdQ9_Am9zpQsUyAmc-9/view?usp=drivesdk","rfa"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS","P-51","1l_kxU4AC2RAxLMKBCkNmbC1YR-oCQR4D","folder","application/vnd.google-apps.folder",,"2026-04-16T22:04:37.597Z","https://drive.google.com/drive/folders/1l_kxU4AC2RAxLMKBCkNmbC1YR-oCQR4D",
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-51","P-51-Vista3D.fbx","1udsfcT1TbFpE-VeFiOu3gYfHztsDK4Ef","file","application/octet-stream","215296","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/1udsfcT1TbFpE-VeFiOu3gYfHztsDK4Ef/view?usp=drivesdk","fbx"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-51","P-51.rfa","1hhbUC-Rjw8oNvBv5kfHaHX15hP17arfs","file","application/octet-stream","1351680","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/1hhbUC-Rjw8oNvBv5kfHaHX15hP17arfs/view?usp=drivesdk","rfa"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS","P-53","15rrf3sDJixOkz1643tydQ11PlEefYVuT","folder","application/vnd.google-apps.folder",,"2026-04-16T22:04:37.601Z","https://drive.google.com/drive/folders/15rrf3sDJixOkz1643tydQ11PlEefYVuT",
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-53","P-53-Vista3D.fbx","1DD7Uuvw4MN0yiX7DGCvXRxwVB0Zn5Ndf","file","application/octet-stream","189120","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/1DD7Uuvw4MN0yiX7DGCvXRxwVB0Zn5Ndf/view?usp=drivesdk","fbx"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-53","P-53.rfa","1hjTicrUkfxv6eEnTIYTVT4s3OR6kusb8","file","application/octet-stream","2342912","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/1hjTicrUkfxv6eEnTIYTVT4s3OR6kusb8/view?usp=drivesdk","rfa"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS","P-56","1e_BNWorvMfwVv6emmBVzvMTomUuuLrgD","folder","application/vnd.google-apps.folder",,"2026-04-16T22:04:37.604Z","https://drive.google.com/drive/folders/1e_BNWorvMfwVv6emmBVzvMTomUuuLrgD",
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-56","P-56(ZONA URBANA).rfa","1E62ZDb2G9pr4ytOzQjYGVwuHWhM59S4X","file","application/octet-stream","1396736","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/1E62ZDb2G9pr4ytOzQjYGVwuHWhM59S4X/view?usp=drivesdk","rfa"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-56","P-56(ZONAURBANA)-Vista3D.fbx","19Hnr3PrRamHrEaMe4Awc4rjQW_tmjZGE","file","application/octet-stream","218928","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/19Hnr3PrRamHrEaMe4Awc4rjQW_tmjZGE/view?usp=drivesdk","fbx"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS","P-7","1rTz8EY2XiOyzkVUcsxQMvezy9qbr8sW0","folder","application/vnd.google-apps.folder",,"2026-04-16T22:04:37.998Z","https://drive.google.com/drive/folders/1rTz8EY2XiOyzkVUcsxQMvezy9qbr8sW0",
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-7","P-7-Vista3D.fbx","1izmy7yzH01vDLBxOKE83tLy4fwFMXCRo","file","application/octet-stream","177712","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/1izmy7yzH01vDLBxOKE83tLy4fwFMXCRo/view?usp=drivesdk","fbx"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-7","P-7.rfa","1Ft74QI3W6lPFZ3o_fm5KznnfzSaXgcCn","file","application/octet-stream","1236992","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/1Ft74QI3W6lPFZ3o_fm5KznnfzSaXgcCn/view?usp=drivesdk","rfa"
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS","P-9A","1mRymFN45inLOh_umSGHfRSz7HbhxXv-H","folder","application/vnd.google-apps.folder",,"2026-04-16T22:04:37.997Z","https://drive.google.com/drive/folders/1mRymFN45inLOh_umSGHfRSz7HbhxXv-H",
"MODELO_BIM/3.00 SEÑALIZACIONES/2. PREVENTIVAS/P-9A","P-9A-Vista3D-{3D}.fbx","1BRRZcFpao2TFoOvnMr4liFUvEXc-EDG-","file","application/octet-stream","179360","2026-04-16T22:04:09.000Z","https://drive.google.com/file/d/1BRRZcFpao2TFoOvnMr4liFUvEXc-EDG-/view?usp=drivesdk","fbx"
