"path","name","id","kind","extension","size","mimeType","webViewLink"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./4.0 AMC-1.00X 1.00 DISEÑO ESTRUCTURAL OK.","AMC-1.00X1.00.msh","1PlhcEVWxd64xwyS-jWt0zX0cKV4nv3i2","file","msh","86463","model/mesh","https://drive.google.com/file/d/1PlhcEVWxd64xwyS-jWt0zX0cKV4nv3i2/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./4.0 AMC-1.00X 1.00 DISEÑO ESTRUCTURAL OK.","AMC-1.00X1.00.OUT","1tI5i7RGK2WJ9lph0xyVjfo6nmBTsA-RE","file","OUT","672","application/octet-stream","https://drive.google.com/file/d/1tI5i7RGK2WJ9lph0xyVjfo6nmBTsA-RE/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./4.0 AMC-1.00X 1.00 DISEÑO ESTRUCTURAL OK.","AMC-1.00X1.00.sbk","1KU4ZX8eBKTQNEd4Qg4gElBrBf6otb82B","file","sbk","14390","application/octet-stream","https://drive.google.com/file/d/1KU4ZX8eBKTQNEd4Qg4gElBrBf6otb82B/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./4.0 AMC-1.00X 1.00 DISEÑO ESTRUCTURAL OK.","AMC-1.00X1.00.sdb","11AQzLmRaVmOq-mrGQGocnidfd1RSKkhF","file","sdb","17227","application/octet-stream","https://drive.google.com/file/d/11AQzLmRaVmOq-mrGQGocnidfd1RSKkhF/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./4.0 AMC-1.00X 1.00 DISEÑO ESTRUCTURAL OK.","AMC-1.00X1.00.Y","1cs-49srt1S_YbbGIxqCa-unrhUJd4OrX","file","Y","13975","application/octet-stream","https://drive.google.com/file/d/1cs-49srt1S_YbbGIxqCa-unrhUJd4OrX/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./4.0 AMC-1.00X 1.00 DISEÑO ESTRUCTURAL OK.","AMC-1.00X1.00.Y$$","10R2l3ojxAqVpBHRxPm74Zj3QYDZq1sOt","file","Y$$","672","application/octet-stream","https://drive.google.com/file/d/10R2l3ojxAqVpBHRxPm74Zj3QYDZq1sOt/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./4.0 AMC-1.00X 1.00 DISEÑO ESTRUCTURAL OK.","AMC-1.00X1.00.Y00","1jSF1H5tmUbNeosi0fjAszzZcvJfKOfE1","file","Y00","14352","application/octet-stream","https://drive.google.com/file/d/1jSF1H5tmUbNeosi0fjAszzZcvJfKOfE1/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./4.0 AMC-1.00X 1.00 DISEÑO ESTRUCTURAL OK.","AMC-1.00X1.00.Y01","1u230SRWYZq-CgD0aVhSKMbzOIKuyRKER","file","Y01","4368","application/octet-stream","https://drive.google.com/file/d/1u230SRWYZq-CgD0aVhSKMbzOIKuyRKER/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./4.0 AMC-1.00X 1.00 DISEÑO ESTRUCTURAL OK.","AMC-1.00X1.00.Y02","1qxTYtGhXLkvgfJyn68O8nZtTuVF4yVLq","file","Y02","4368","application/octet-stream","https://drive.google.com/file/d/1qxTYtGhXLkvgfJyn68O8nZtTuVF4yVLq/view?usp=drivesdk"
"ESTRUCTURAS_ESTUDIO/02. Memoria de Calculo./01. Alcantarillas MCA./4.0 AMC-1.00X 1.00 DISEÑO ESTRUCTURAL OK.","AMC-1.00X1.00.Y03","1yrpbutquoip7IrnIe9_qGGcrXco1Mvt2","file","Y03","14352","application/octet-stream","https://drive.google.com/file/d/1yrpbutquoip7IrnIe9_qGGcrXco1Mvt2/view?usp=drivesdk"
