"specialty","path","id","name","mimeType","size","modifiedTime","link"
"GTDG","1.00 GEOREFERENCIACION./BASE DE  DATOS/2 DATA DE LOS PUNTOS A PROCESAR.","1FXIFkdUmrmpx87KyM1K6iLhJoII78xPm","2 DATA DE LOS PUNTOS A PROCESAR.","application/vnd.google-apps.folder",,"2026-03-25T17:13:02.926Z","https://drive.google.com/drive/folders/1FXIFkdUmrmpx87KyM1K6iLhJoII78xPm"
"GTDG","1.00 GEOREFERENCIACION./BASE DE  DATOS/1 DATA ERP.","1X_LYkhTUFi2tQEzh-EjAE2a-rblTLe-p","1 DATA ERP.","application/vnd.google-apps.folder",,"2026-03-25T17:10:13.596Z","https://drive.google.com/drive/folders/1X_LYkhTUFi2tQEzh-EjAE2a-rblTLe-p"
"GTDG","1.00 GEOREFERENCIACION./ANEXO  05","1mygW-3BT1rywFJIHL_bU5Z-aj9ZkoLJz","ANEXO  05","application/vnd.google-apps.folder",,"2026-03-25T17:09:29.574Z","https://drive.google.com/drive/folders/1mygW-3BT1rywFJIHL_bU5Z-aj9ZkoLJz"
"GTDG","1.00 GEOREFERENCIACION./ANEXO  05/FICHA TECNICA Y CERTIFICADO DE  CALIBRACIÓN .pdf","1egiguW9eNC4hRnVA9B2lf_5aGv2c1UHQ","FICHA TECNICA Y CERTIFICADO DE  CALIBRACIÓN .pdf","application/pdf","1386491","2026-03-25T17:09:42.834Z","https://drive.google.com/file/d/1egiguW9eNC4hRnVA9B2lf_5aGv2c1UHQ/view?usp=drivesdk"
"GTDG","1.00 GEOREFERENCIACION./ANEXO  04","1UTpjL4kfvS_veIMtc5v0W-QkHmlvWFky","ANEXO  04","application/vnd.google-apps.folder",,"2026-03-25T17:08:41.332Z","https://drive.google.com/drive/folders/1UTpjL4kfvS_veIMtc5v0W-QkHmlvWFky"
"GTDG","1.00 GEOREFERENCIACION./ANEXO  04/Rssolicitud.pdf","1VL7LIZhNkOemZdgIwWOQaVYbLFBV2vXR","Rssolicitud.pdf","application/pdf","25820","2026-03-25T17:09:14.332Z","https://drive.google.com/file/d/1VL7LIZhNkOemZdgIwWOQaVYbLFBV2vXR/view?usp=drivesdk"
"GTDG","1.00 GEOREFERENCIACION./ANEXO  04/Recibo  30-7-2024N°.R001-032776.pdf","1ZKHrHxkcw5vap7dNivpkqOapIQI1gTDC","Recibo  30-7-2024N°.R001-032776.pdf","application/pdf","57260","2026-03-25T17:09:02.661Z","https://drive.google.com/file/d/1ZKHrHxkcw5vap7dNivpkqOapIQI1gTDC/view?usp=drivesdk"
"GTDG","1.00 GEOREFERENCIACION./ANEXO  04/LI04 - PUCUSANA  V3.2.1.pdf","1niQCZcN35S_liiNA2DaE2U4qwpKKp_x7","LI04 - PUCUSANA  V3.2.1.pdf","application/pdf","711087","2026-03-25T17:08:52.121Z","https://drive.google.com/file/d/1niQCZcN35S_liiNA2DaE2U4qwpKKp_x7/view?usp=drivesdk"
"GTDG","1.00 GEOREFERENCIACION./ANEXO  03","1_WjWc3zjbH_Ug3mUKPwYE61MQKpZmjx-","ANEXO  03","application/vnd.google-apps.folder",,"2026-03-25T17:08:07.099Z","https://drive.google.com/drive/folders/1_WjWc3zjbH_Ug3mUKPwYE61MQKpZmjx-"
"GTDG","1.00 GEOREFERENCIACION./ANEXO  03/DESCRIPCIÓN  MONOGRÁFICA .pdf","1YOj1DhZsA8sk37YdUXyxnfajdHVUt6py","DESCRIPCIÓN  MONOGRÁFICA .pdf","application/pdf","1903101","2026-03-25T17:08:19.967Z","https://drive.google.com/file/d/1YOj1DhZsA8sk37YdUXyxnfajdHVUt6py/view?usp=drivesdk"
"GTDG","1.00 GEOREFERENCIACION./ANEXO  02","1tPSF-2MUjUoiD0__zA_mRyeld42Lie1I","ANEXO  02","application/vnd.google-apps.folder",,"2026-03-25T17:07:45.833Z","https://drive.google.com/drive/folders/1tPSF-2MUjUoiD0__zA_mRyeld42Lie1I"
"GTDG","1.00 GEOREFERENCIACION./ANEXO  02/Informe de procesamiento de líneas  base.pdf","1PW-c66GfNKpnoGVz4gwWjknS0Fm2JBLR","Informe de procesamiento de líneas  base.pdf","application/pdf","6227679","2026-03-25T17:07:54.780Z","https://drive.google.com/file/d/1PW-c66GfNKpnoGVz4gwWjknS0Fm2JBLR/view?usp=drivesdk"
"GTDG","1.00 GEOREFERENCIACION./ANEXO  01","1I2Omp2YjdROHRMSwVgyzhpf7Ev1CeQVq","ANEXO  01","application/vnd.google-apps.folder",,"2026-03-25T17:07:39.038Z","https://drive.google.com/drive/folders/1I2Omp2YjdROHRMSwVgyzhpf7Ev1CeQVq"
"GTDG","1.00 GEOREFERENCIACION./ANEXO  01/DIARIO DE OBSERVACIONES  GNSS.pdf","1aMYBVZ2rY-8D-ILh1wmuGtK-hqMGguyb","DIARIO DE OBSERVACIONES  GNSS.pdf","application/pdf","2113487","2026-03-25T17:07:28.897Z","https://drive.google.com/file/d/1aMYBVZ2rY-8D-ILh1wmuGtK-hqMGguyb/view?usp=drivesdk"
